cell,sky130_source,function,drive,type,description,logic,inputs,outputs,abstract_devices,power_note,verified
A2111OD1,sky130_fd_sc_hd__a2111o_1,a2111o,1,combinational,2-input AND into first input of 4-input OR.,X = ((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,X,30,,equiv-pass
A2111OD2,sky130_fd_sc_hd__a2111o_2,a2111o,2,combinational,2-input AND into first input of 4-input OR.,X = ((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,X,35,,equiv-pass
A2111OD4,sky130_fd_sc_hd__a2111o_4,a2111o,4,combinational,2-input AND into first input of 4-input OR.,X = ((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,X,70,,equiv-pass
A2111OID0,sky130_fd_sc_hd__a2111oi_0,a2111oi,0,combinational,2-input AND into first input of 4-input NOR.,Y = !((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,Y,15,,equiv-pass
A2111OID1,sky130_fd_sc_hd__a2111oi_1,a2111oi,1,combinational,2-input AND into first input of 4-input NOR.,Y = !((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,Y,25,,equiv-pass
A2111OID2,sky130_fd_sc_hd__a2111oi_2,a2111oi,2,combinational,2-input AND into first input of 4-input NOR.,Y = !((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,Y,50,,equiv-pass
A2111OID4,sky130_fd_sc_hd__a2111oi_4,a2111oi,4,combinational,2-input AND into first input of 4-input NOR.,Y = !((A1 & A2) | B1 | C1 | D1),A1 A2 B1 C1 D1,Y,100,,equiv-pass
A211OD1,sky130_fd_sc_hd__a211o_1,a211o,1,combinational,2-input AND into first input of 3-input OR.,X = ((A1 & A2) | B1 | C1),A1 A2 B1 C1,X,25,,equiv-pass
A211OD2,sky130_fd_sc_hd__a211o_2,a211o,2,combinational,2-input AND into first input of 3-input OR.,X = ((A1 & A2) | B1 | C1),A1 A2 B1 C1,X,30,,equiv-pass
A211OD4,sky130_fd_sc_hd__a211o_4,a211o,4,combinational,2-input AND into first input of 3-input OR.,X = ((A1 & A2) | B1 | C1),A1 A2 B1 C1,X,60,,equiv-pass
A211OID1,sky130_fd_sc_hd__a211oi_1,a211oi,1,combinational,2-input AND into first input of 3-input NOR.,Y = !((A1 & A2) | B1 | C1),A1 A2 B1 C1,Y,20,,equiv-pass
A211OID2,sky130_fd_sc_hd__a211oi_2,a211oi,2,combinational,2-input AND into first input of 3-input NOR.,Y = !((A1 & A2) | B1 | C1),A1 A2 B1 C1,Y,40,,equiv-pass
A211OID4,sky130_fd_sc_hd__a211oi_4,a211oi,4,combinational,2-input AND into first input of 3-input NOR.,Y = !((A1 & A2) | B1 | C1),A1 A2 B1 C1,Y,80,,equiv-pass
A21BOD1,sky130_fd_sc_hd__a21bo_1,a21bo,1,combinational,"2-input AND into first input of 2-input OR,",X = ((A1 & A2) | (!B1_N)),A1 A2 B1_N,X,22,,equiv-pass
A21BOD2,sky130_fd_sc_hd__a21bo_2,a21bo,2,combinational,"2-input AND into first input of 2-input OR,",X = ((A1 & A2) | (!B1_N)),A1 A2 B1_N,X,27,,equiv-pass
A21BOD4,sky130_fd_sc_hd__a21bo_4,a21bo,4,combinational,"2-input AND into first input of 2-input OR,",X = ((A1 & A2) | (!B1_N)),A1 A2 B1_N,X,55,,equiv-pass
A21BOID0,sky130_fd_sc_hd__a21boi_0,a21boi,0,combinational,"2-input AND into first input of 2-input NOR,",Y = !((A1 & A2) | (!B1_N)),A1 A2 B1_N,Y,11,,equiv-pass
A21BOID1,sky130_fd_sc_hd__a21boi_1,a21boi,1,combinational,"2-input AND into first input of 2-input NOR,",Y = !((A1 & A2) | (!B1_N)),A1 A2 B1_N,Y,17,,equiv-pass
A21BOID2,sky130_fd_sc_hd__a21boi_2,a21boi,2,combinational,"2-input AND into first input of 2-input NOR,",Y = !((A1 & A2) | (!B1_N)),A1 A2 B1_N,Y,32,,equiv-pass
A21BOID4,sky130_fd_sc_hd__a21boi_4,a21boi,4,combinational,"2-input AND into first input of 2-input NOR,",Y = !((A1 & A2) | (!B1_N)),A1 A2 B1_N,Y,65,,equiv-pass
A21OD1,sky130_fd_sc_hd__a21o_1,a21o,1,combinational,2-input AND into first input of 2-input OR.,X = ((A1 & A2) | B1),A1 A2 B1,X,20,,equiv-pass
