name,source,status
A2111OD1,sky130_fd_sc_hd__a2111o_1,ok
A2111OD2,sky130_fd_sc_hd__a2111o_2,ok
A2111OD4,sky130_fd_sc_hd__a2111o_4,ok
A2111OID0,sky130_fd_sc_hd__a2111oi_0,ok
A2111OID1,sky130_fd_sc_hd__a2111oi_1,ok
A2111OID2,sky130_fd_sc_hd__a2111oi_2,ok
A2111OID4,sky130_fd_sc_hd__a2111oi_4,ok
A211OD1,sky130_fd_sc_hd__a211o_1,ok
A211OD2,sky130_fd_sc_hd__a211o_2,ok
A211OD4,sky130_fd_sc_hd__a211o_4,ok
A211OID1,sky130_fd_sc_hd__a211oi_1,ok
A211OID2,sky130_fd_sc_hd__a211oi_2,ok
A211OID4,sky130_fd_sc_hd__a211oi_4,ok
A21BOD1,sky130_fd_sc_hd__a21bo_1,ok
A21BOD2,sky130_fd_sc_hd__a21bo_2,ok
A21BOD4,sky130_fd_sc_hd__a21bo_4,ok
A21BOID0,sky130_fd_sc_hd__a21boi_0,ok
A21BOID1,sky130_fd_sc_hd__a21boi_1,ok
A21BOID2,sky130_fd_sc_hd__a21boi_2,ok
A21BOID4,sky130_fd_sc_hd__a21boi_4,ok
A21OD1,sky130_fd_sc_hd__a21o_1,ok
A21OD2,sky130_fd_sc_hd__a21o_2,ok
A21OD4,sky130_fd_sc_hd__a21o_4,ok
A21OID1,sky130_fd_sc_hd__a21oi_1,ok
A21OID2,sky130_fd_sc_hd__a21oi_2,ok
A21OID4,sky130_fd_sc_hd__a21oi_4,ok
A221OD1,sky130_fd_sc_hd__a221o_1,ok
A221OD2,sky130_fd_sc_hd__a221o_2,ok
A221OD4,sky130_fd_sc_hd__a221o_4,ok
A221OID1,sky130_fd_sc_hd__a221oi_1,ok
A221OID2,sky130_fd_sc_hd__a221oi_2,ok
A221OID4,sky130_fd_sc_hd__a221oi_4,ok
A222OID1,sky130_fd_sc_hd__a222oi_1,ok
A22OD1,sky130_fd_sc_hd__a22o_1,ok
A22OD2,sky130_fd_sc_hd__a22o_2,ok
A22OD4,sky130_fd_sc_hd__a22o_4,ok
A22OID1,sky130_fd_sc_hd__a22oi_1,ok
A22OID2,sky130_fd_sc_hd__a22oi_2,ok
A22OID4,sky130_fd_sc_hd__a22oi_4,ok
A2BB2OD1,sky130_fd_sc_hd__a2bb2o_1,ok
A2BB2OD2,sky130_fd_sc_hd__a2bb2o_2,ok
A2BB2OD4,sky130_fd_sc_hd__a2bb2o_4,ok
A2BB2OID1,sky130_fd_sc_hd__a2bb2oi_1,ok
A2BB2OID2,sky130_fd_sc_hd__a2bb2oi_2,ok
A2BB2OID4,sky130_fd_sc_hd__a2bb2oi_4,ok
A311OD1,sky130_fd_sc_hd__a311o_1,ok
A311OD2,sky130_fd_sc_hd__a311o_2,ok
A311OD4,sky130_fd_sc_hd__a311o_4,ok
A311OID1,sky130_fd_sc_hd__a311oi_1,ok
A311OID2,sky130_fd_sc_hd__a311oi_2,ok
A311OID4,sky130_fd_sc_hd__a311oi_4,ok
A31OD1,sky130_fd_sc_hd__a31o_1,ok
A31OD2,sky130_fd_sc_hd__a31o_2,ok
A31OD4,sky130_fd_sc_hd__a31o_4,ok
A31OID1,sky130_fd_sc_hd__a31oi_1,ok
A31OID2,sky130_fd_sc_hd__a31oi_2,ok
A31OID4,sky130_fd_sc_hd__a31oi_4,ok
A32OD1,sky130_fd_sc_hd__a32o_1,ok
A32OD2,sky130_fd_sc_hd__a32o_2,ok
A32OD4,sky130_fd_sc_hd__a32o_4,ok
A32OID1,sky130_fd_sc_hd__a32oi_1,ok
A32OID2,sky130_fd_sc_hd__a32oi_2,ok
A32OID4,sky130_fd_sc_hd__a32oi_4,ok
A41OD1,sky130_fd_sc_hd__a41o_1,ok
A41OD2,sky130_fd_sc_hd__a41o_2,ok
A41OD4,sky130_fd_sc_hd__a41o_4,ok
A41OID1,sky130_fd_sc_hd__a41oi_1,ok
A41OID2,sky130_fd_sc_hd__a41oi_2,ok
A41OID4,sky130_fd_sc_hd__a41oi_4,ok
AND2D0,sky130_fd_sc_hd__and2_0,ok
AND2D1,sky130_fd_sc_hd__and2_1,ok
AND2D2,sky130_fd_sc_hd__and2_2,ok
AND2D4,sky130_fd_sc_hd__and2_4,ok
AND2BD1,sky130_fd_sc_hd__and2b_1,ok
AND2BD2,sky130_fd_sc_hd__and2b_2,ok
AND2BD4,sky130_fd_sc_hd__and2b_4,ok
AND3D1,sky130_fd_sc_hd__and3_1,ok
AND3D2,sky130_fd_sc_hd__and3_2,ok
AND3D4,sky130_fd_sc_hd__and3_4,ok
AND3BD1,sky130_fd_sc_hd__and3b_1,ok
AND3BD2,sky130_fd_sc_hd__and3b_2,ok
AND3BD4,sky130_fd_sc_hd__and3b_4,ok
AND4D1,sky130_fd_sc_hd__and4_1,ok
AND4D2,sky130_fd_sc_hd__and4_2,ok
AND4D4,sky130_fd_sc_hd__and4_4,ok
AND4BD1,sky130_fd_sc_hd__and4b_1,ok
AND4BD2,sky130_fd_sc_hd__and4b_2,ok
AND4BD4,sky130_fd_sc_hd__and4b_4,ok
AND4BBD1,sky130_fd_sc_hd__and4bb_1,ok
AND4BBD2,sky130_fd_sc_hd__and4bb_2,ok
AND4BBD4,sky130_fd_sc_hd__and4bb_4,ok
BUFD1,sky130_fd_sc_hd__buf_1,ok
BUFD12,sky130_fd_sc_hd__buf_12,ok
BUFD16,sky130_fd_sc_hd__buf_16,ok
BUFD2,sky130_fd_sc_hd__buf_2,ok
BUFD4,sky130_fd_sc_hd__buf_4,ok
BUFD6,sky130_fd_sc_hd__buf_6,ok
BUFD8,sky130_fd_sc_hd__buf_8,ok
BUFBUFD16,sky130_fd_sc_hd__bufbuf_16,ok
BUFBUFD8,sky130_fd_sc_hd__bufbuf_8,ok
BUFINVD16,sky130_fd_sc_hd__bufinv_16,ok
BUFINVD8,sky130_fd_sc_hd__bufinv_8,ok
CLKBUFD1,sky130_fd_sc_hd__clkbuf_1,ok
CLKBUFD16,sky130_fd_sc_hd__clkbuf_16,ok
CLKBUFD2,sky130_fd_sc_hd__clkbuf_2,ok
CLKBUFD4,sky130_fd_sc_hd__clkbuf_4,ok
CLKBUFD8,sky130_fd_sc_hd__clkbuf_8,ok
CLKDLYBUF4S15D1,sky130_fd_sc_hd__clkdlybuf4s15_1,ok
CLKDLYBUF4S15D2,sky130_fd_sc_hd__clkdlybuf4s15_2,ok
CLKDLYBUF4S18D1,sky130_fd_sc_hd__clkdlybuf4s18_1,ok
CLKDLYBUF4S18D2,sky130_fd_sc_hd__clkdlybuf4s18_2,ok
CLKDLYBUF4S25D1,sky130_fd_sc_hd__clkdlybuf4s25_1,ok
CLKDLYBUF4S25D2,sky130_fd_sc_hd__clkdlybuf4s25_2,ok
CLKDLYBUF4S50D1,sky130_fd_sc_hd__clkdlybuf4s50_1,ok
CLKDLYBUF4S50D2,sky130_fd_sc_hd__clkdlybuf4s50_2,ok
CLKINVD1,sky130_fd_sc_hd__clkinv_1,ok
CLKINVD16,sky130_fd_sc_hd__clkinv_16,ok
CLKINVD2,sky130_fd_sc_hd__clkinv_2,ok
CLKINVD4,sky130_fd_sc_hd__clkinv_4,ok
CLKINVD8,sky130_fd_sc_hd__clkinv_8,ok
CLKINVLPD2,sky130_fd_sc_hd__clkinvlp_2,ok
CLKINVLPD4,sky130_fd_sc_hd__clkinvlp_4,ok
CONBD1,sky130_fd_sc_hd__conb_1,skip:non-FET-device(short)
DECAPD12,sky130_fd_sc_hd__decap_12,ok
DECAPD3,sky130_fd_sc_hd__decap_3,ok
DECAPD4,sky130_fd_sc_hd__decap_4,ok
DECAPD6,sky130_fd_sc_hd__decap_6,ok
DECAPD8,sky130_fd_sc_hd__decap_8,ok
DFBBND1,DFBBN,ok
DFBBND2,sky130_fd_sc_hd__dfbbn_2,ok
